,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
86,Dhaka,30-39,Man,Bachelors,Doctor,6-8,Tablet,<4 yr,6,7,4.0,N,N,Y,"1, 4","Smartphone, Laptop, Tablet",2,7,2,,NC,Nothing,1,,2
87,Dhaka,30-39,Man,Masters,Business,4-6,Desktop,<1 yr,3,1,1.0,Y,N,N,1,Desktop,1,4,1,4,NC,Featurephone,1,,
88,Dhaka,30-39,Man,Bachelors,Technical Works,4-6,Smartphone,<4 yr,"2, 5, 6",1,1.0,N,N,N,"1, 5","Smartphone, Desktop, Laptop",3,"1, 3, 5, 7","3, 4, 7","1, 4, 6",NC,Desktop,"1, 3",,"1, 2, 3"
89,Chittagong,20-29,Man,High School,Student,6-8,Smartphone,<6 mn,3,1,2.0,Y,Y,Y,"1, 4","Smartphone, Desktop, Laptop","2, 3","1, 3, 5, 7","1, 3, 4, 6","1, 2, 4, 5, 6",Y,Nothing,"1, 2, 3, 4",N,"1, 2, 3, 4"
90,Dhaka,20-29,Man,Bachelors,Student,4-6,Desktop,<1 mn,1,1,5.0,Y,Y,Y,4,"Smartphone, Tablet",3,"1, 2, 3, 5","3, 4, 6, 7","2, 3, 4, 5, 6, 7",NC,Nothing,3,N,"3, 4, 5"
91,Chittagong,20-29,Man,Bachelors,Student,4-6,Smartphone,<6 mn,3,1,1.0,N,N,N,"1, 4",Laptop,"2, 3",1,7,"4, 5, 6",NC,Nothing,3,N,"2, 3"
92,Dhaka,30-39,Man,Bachelors,Job,12-,Smartphone,<1 yr,3,1,5.0,Y,N,Y,"1, 4","Smartphone, Tablet",3,"1, 6","1, 2, 4, 7","4, 6, 7",NC,Nothing,"1, 2",Y,"1, 2, 3, 5"
93,Dhaka,30-39,Man,Bachelors,Job,12-,Smartphone,<1 yr,3,1,5.0,Y,N,Y,"1, 4","Smartphone, Tablet",3,"1, 6","1, 2, 4, 7","4, 6, 7",NC,Nothing,"1, 2",Y,"1, 2, 3, 5"
94,Rajshahi,20-29,Man,Bachelors,Student,3-4,Smartphone,<1 yr,6,1,4.0,N,N,N,1,"Smartphone, Laptop",1,5,"4, 7","4, 6",NC,Nothing,"1, 2",,2
95,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,"1, 2, 3, 5, 6",4,2.0,Y,Y,Y,1,"Smartphone, Featurephone",3,"5, 6, 7","3, 4, 7","2, 4",NC,"Smartphone, Featurephone","1, 2, 3",,"1, 2, 4"
96,Dhaka,20-29,Man,High School,Student,10-12,Smartphone,<6 mn,"3, 6",1,4.0,Y,Y,Y,"1, 3","Smartphone, Featurephone, Desktop, Laptop, Tablet",3,"2, 4, 7","2, 5, 7","1, 2, 3, 4, 5, 6, 7",NC,"Desktop, Printer","3, 4",N,"1, 2"
97,Barisal,30-39,Man,Masters,Unemployed,3-4,Featurephone,<2 yr,3,1,1.0,Y,Y,Y,1,"Smartphone, Desktop",1,3,"3, 7",,Y,Nothing,,N,1
98,Dhaka,20-29,Woman,High School,Student,1-2,Smartphone,<6 mn,3,1,2.0,Y,Y,Y,1,"Smartphone, Featurephone, Laptop",2,"1, 3, 5, 6","2, 3","2, 4",NC,Nothing,"1, 2, 3, 6",N,"1, 2, 3"
99,Dhaka,20-29,Woman,Masters,Student,4-6,Laptop,<6 mn,"3, 6",1,1.0,Y,Y,Y,"1, 4",Smartphone,1,"1, 4, 5, 7","2, 5, 7","2, 3, 5, 7",NC,Smartphone,5,N,2
100,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,6,1,5.0,N,N,N,1,Laptop,3,"5, 6",1,"2, 3, 4, 6",NC,Desktop,"4, 5",,"1, 2, 5"
101,Dhaka,30-39,Man,Masters,Business,4-6,Smartphone,<1 yr,1,3,4.0,N,N,Y,1,"Smartphone, Desktop, Laptop",1,4,"1, 2","3, 6",N,Nothing,3,N,2
102,Dhaka,20-29,Woman,High School,Student,1-2,Laptop,<1 mn,"5, 9",1,5.0,Y,Y,Y,1,Smartphone,1,"5, 7","3, 4, 7","5, 6",NC,Nothing,"1, 2, 3",,
103,Dhaka,20-29,Man,Bachelors,Unemployed,3-4,Smartphone,<2 yr,"2, 6","1, 4",5.0,N,Y,Y,"3, 4","Desktop, Laptop","2, 3","5, 6","3, 7","3, 6",Y,Smartphone,1,Y,"2, 5"
104,Khulna,20-29,Woman,Bachelors,Student,3-4,Smartphone,<2 yr,3,1,1.0,Y,Y,N,1,"Smartphone, Laptop","2, 3",5,1,"2, 3, 4, 6",Y,Nothing,1,Y,"1, 2, 3, 4, 5"
105,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,"1, 2, 6",1,5.0,Y,Y,Y,1,"Smartphone, Desktop",3,"1, 6","2, 3, 7","2, 4, 5",NC,"Desktop, Laptop","2, 3",Y,"2, 5"
106,Chittagong,20-29,Woman,Bachelors,Student,4-6,Laptop,<1 yr,"3, 6",1,5.0,N,N,N,1,"Smartphone, Featurephone, Laptop",1,5,"3, 4","2, 4, 6",NC,Nothing,5,,"1, 2"
107,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<1 yr,6,1,5.0,N,N,Y,1,Laptop,1,4,"2, 4",,N,Nothing,1,N,1
108,Barisal,20-29,Woman,Bachelors,Student,4-6,Smartphone,<6 mn,"3, 5",1,2.0,Y,Y,N,1,"Smartphone, Featurephone, Laptop",1,"1, 4, 5, 7",2,"2, 3, 4, 5, 6",NC,Nothing,"2, 3, 4",,"1, 2"
109,Dhaka,20-29,Woman,High School,Student,3-4,Smartphone,<4 yr,6,1,5.0,Y,N,N,4,Laptop,3,1,4,"2, 6",NC,Nothing,2,,"1, 2"
110,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,"2, 3, 5, 6","1, 3",4.0,N,N,N,"1, 2, 3, 4",Smartphone,"2, 3","1, 4, 5, 6, 7","2, 3, 4","1, 2, 3, 4, 5, 6",NC,Featurephone,"1, 2, 4",,"1, 2, 3, 4"
111,Dhaka,20-29,Woman,Bachelors,Student,3-4,Tablet,<4 yr,,,,N,N,N,4,Laptop,1,3,2,"2, 3, 5, 6",NC,Featurephone,"3, 4",,"1, 2"
112,Chittagong,30-39,Man,Bachelors,Job,4-6,Smartphone,<4 yr,6,7,5.0,N,Y,N,"1, 4, 5","Smartphone, Desktop",3,"6, 7","1, 4","2, 5, 6",Y,Nothing,,N,"3, 5"
113,Dhaka,20-29,Man,Bachelors,Job,4-6,Smartphone,<6 mn,"3, 6",1,1.0,Y,Y,Y,"1, 4","Smartphone, Desktop, Laptop, Tablet",2,"1, 5, 6","3, 4, 7","2, 3, 4, 5, 6",Y,Nothing,"3, 4",N,"1, 2"
114,Dhaka,30-39,Woman,Masters,Job,3-4,Tablet,<4 yr,5,1,1.0,N,N,Y,4,Smartphone,2,5,4,4,NC,Featurephone,3,,5
115,Dhaka,30-39,Man,Masters,Business,3-4,Smartphone,<2 yr,6,,5.0,N,N,N,4,Smartphone,3,4,4,4,NC,Desktop,1,,1
116,Dhaka,20-29,Woman,High School,Student,6-8,Smartphone,<1 yr,2,1,5.0,Y,Y,Y,"1, 4",Smartphone,3,6,"3, 4, 6","3, 5",Y,Nothing,4,N,"2, 5"
117,Khulna,20-29,Man,Bachelors,Student,1-2,Smartphone,<4 yr,3,5,5.0,N,Y,Y,1,"Smartphone, Featurephone, Laptop","2, 3","5, 6","2, 3, 4, 7","2, 4, 5, 6",Y,Featurephone,"2, 3, 4",N,"1, 2"
118,Dhaka,30-39,Man,Bachelors,Business,3-4,Smartphone,<4 yr,4,6,5.0,Y,Y,Y,6,Laptop,3,"4, 5",1,"5, 6",N,Nothing,"2, 4",N,"1, 2"
119,Dhaka,40-49,Man,Masters,Technical Works,8-10,Smartphone,<1 mn,2,1,1.0,Y,N,Y,1,"Smartphone, Desktop, Laptop",3,"5, 7","2, 3, 4","2, 6",NC,Nothing,,,"1, 2"
120,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,"1, 2, 6",1,1.0,Y,Y,Y,"1, 4","Smartphone, Laptop","2, 3","1, 3, 4, 5","2, 3, 4, 6, 7","1, 2, 3, 4, 5, 6, 7",NC,Nothing,"1, 2, 3, 4, 5, 6",,"1, 2, 3, 4, 5"
121,Dhaka,30-39,Man,High School,Business,12-,Desktop,<4 yr,2,1,5.0,Y,N,N,4,Smartphone,3,4,2,,NC,Nothing,3,N,3
122,Khulna,20-29,Man,Bachelors,Student,1-2,Smartphone,<4 yr,3,1,1.0,N,N,N,1,Smartphone,2,"1, 7","3, 4, 7","2, 3, 4, 5, 6",Y,Nothing,"2, 3",N,2
123,Dhaka,20-29,Man,Bachelors,Job,4-6,Laptop,<1 yr,3,1,5.0,Y,N,N,"1, 4","Smartphone, Laptop",3,1,"3, 4, 6, 7","2, 4, 6",NC,Nothing,"1, 2, 3, 4",,"1, 2"
124,Dhaka,30-39,Man,Masters,Business,3-4,Smartphone,<2 yr,3,3,4.0,N,N,Y,1,"Smartphone, Desktop, Laptop",2,"1, 5, 6","3, 4, 7","2, 4, 6, 7",Y,Nothing,1,N,"1, 2, 3"
125,Khulna,20-29,Woman,Bachelors,Student,4-6,Smartphone,<2 yr,"3, 6",1,5.0,Y,Y,Y,1,Smartphone,2,"1, 2, 5","2, 4, 6, 7","2, 4, 5, 6",N,Nothing,"3, 4, 5",N,1
126,Dhaka,20-29,Man,Bachelors,Job,3-4,Smartphone,<2 yr,"1, 6",1,5.0,N,N,N,1,"Smartphone, Desktop, Laptop",2,"1, 4, 5","2, 4, 6, 7","1, 2, 4, 5, 6",NC,Desktop,4,Y,2
127,Dhaka,20-29,Man,Bachelors,Student,4-6,Laptop,<1 yr,"3, 6",1,1.0,N,Y,N,"1, 5","Smartphone, Laptop",1,5,2,"3, 6",N,Nothing,1,Y,"2, 5"
128,Dhaka,30-39,Man,Masters,Job,6-8,Laptop,<1 yr,"1, 2, 6",3,5.0,N,N,Y,1,"Smartphone, Desktop, Laptop",1,"5, 7","3, 4, 7","1, 3, 4, 5, 6",NC,Nothing,1,Y,2
129,Dhaka,30-39,Man,Bachelors,Job,10-12,Smartphone,<1 yr,"1, 2, 3, 6","1, 3, 4",5.0,Y,Y,N,1,"Smartphone, Desktop, Laptop","2, 3","1, 4, 5, 6","2, 3, 7","1, 2, 4, 5, 6",NC,Nothing,"3, 4",,2
130,Khulna,30-39,Man,Masters,Job,4-6,Laptop,<1 yr,3,1,5.0,N,N,N,"1, 2","Smartphone, Laptop",1,"5, 6",3,,NC,Nothing,,,
131,Chittagong,40-49,Man,Masters,Job,3-4,Smartphone,<6 mn,3,"1, 2",1.0,Y,N,N,"1, 2",Smartphone,1,"1, 5","2, 3, 4, 7","3, 4, 6",NC,Nothing,"1, 5",,"1, 2"
132,Khulna,20-29,Man,Bachelors,Student,3-4,Smartphone,<4 yr,3,1,2.0,Y,N,N,1,"Smartphone, Featurephone, Laptop",1,7,1,,N,Nothing,"1, 2, 3",N,"1, 2"
133,Chittagong,20-29,Woman,Bachelors,Student,3-4,Smartphone,<6 mn,3,1,2.0,Y,Y,Y,1,"Smartphone, Desktop",1,"4, 5, 6","3, 4, 7","2, 3, 4, 5",Y,Featurephone,"2, 3",Y,"2, 3"
134,Dhaka,20-29,Man,Bachelors,Unemployed,3-4,Smartphone,<6 mn,2,1,5.0,N,Y,Y,1,Laptop,2,"1, 3, 5, 6","3, 4, 6","2, 3, 5, 6, 7",N,Nothing,"2, 3, 4",,"1, 2"
135,Dhaka,20-29,Woman,High School,Student,0,Laptop,<1 yr,6,1,1.0,N,N,N ,1,"Smartphone, Laptop",1,"4, 6","3, 4, 7","4, 5, 6",N,Nothing,"2, 3, 4",N,"1, 4"
136,Khulna,30-39,Man,Masters,Job,3-4,Smartphone,<1 yr,"2, 5, 6","1, 7",5.0,N,N,N,5,Laptop,1,"5, 6","3, 6","2, 6",N,Nothing,"3, 4",N ,"1, 2, 4"
137,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<6 mn,3,1,2.0,N,N,N,"1, 4","Smartphone, Desktop","2, 3",6,"3, 4","2, 4, 5, 6",NC,Nothing,"1, 2",,5
138,Dhaka,20-29,Woman,Bachelors,Job,3-4,Laptop,>4 yr,"2, 3, 6",1,1.0,Y,N,N,"1, 5","Laptop, Tablet",1,3,"1, 3, 4, 7",,NC,Nothing,"1, 2, 3, 4, 5",,2
139,Dhaka,20-29,Woman,Bachelors,Student,3-4,Smartphone,>4 yr,3,1,2.0,N,N,N,1,"Smartphone, Desktop, Laptop",2,"1, 3, 5","2, 3, 4, 6, 7","1, 2, 3, 4, 5, 6, 7",NC,Featurephone,"1, 2, 3, 4, 6",,"1, 2, 3, 4"
140,Barisal,20-29,Man,Bachelors,Technical Works,3-4,Smartphone,<1 yr,"2, 6",1,5.0,N,N,N,1,"Smartphone, Laptop",2,"1, 5, 6","3, 6","5, 6",NC,Nothing,4,,"1, 2"
141,Dhaka,1-19,Woman,High School,Student,1-2,Smartphone,<6 mn,"1, 2",1,4.0,N,Y,N,1,Smartphone,2,"5, 7","2, 3, 4",3,N,Nothing,4,N,"1, 2"
142,Khulna,20-29,Man,High School,Student,3-4,Desktop,<2 yr,3,1,2.0,N,N,N,4,Smartphone,3,"1, 6","3, 4","1, 2, 3, 4, 5, 6",Y,Featurephone,"1, 2, 4",N,2
143,Dhaka,20-29,Woman,High School,Student,4-6,Smartphone,<2 yr,"1, 2, 6",1,1.0,N,Y,Y,2,"Smartphone, Laptop",3,"1, 4, 5, 7","2, 3, 4, 6, 7","2, 3, 4, 6",Y,Nothing,"1, 2",N,"2, 3, 5"
144,Chittagong,20-29,Man,Bachelors,Student,4-6,Desktop,<1 mn,,1,1.0,N,Y,Y,4,Laptop,3,6,1,"2, 3, 4, 5, 6",Y,Nothing,,N,"1, 2, 5"
145,Dhaka,20-29,Man,High School,Student,6-8,Laptop,<2 yr,3,5,4.0,Y,N,Y,1,"Smartphone, Desktop, Laptop",1,5,3,5,NC,Nothing,"1, 3, 4",N,"2, 5"
146,Khulna,20-29,Woman,High School,Student,1-2,Smartphone,<1 mn,1,1,1.0,Y,N,N,1,Nothing,1,6,"3, 4",3,NC,Nothing,2,Y,2
147,Dhaka,20-29,Woman,High School,Student,4-6,Featurephone,<6 mn,"1, 2, 4, 5",1,5.0,Y,Y,Y,1,"Smartphone, Desktop, Laptop",2,2,7,"3, 6, 7",NC,Nothing,3,"N
","1, 2"
148,Dhaka,20-29,Woman,Bachelors,Student,3-4,Smartphone,<2 yr,3,1,5.0,N,N,N,1,Smartphone,1,6,"3, 4","3, 6",NC,Smartphone,1,N,"1, 2, 4"
149,Dhaka,20-29,Man,Masters,Student,4-6,Smartphone,<2 yr,5,1,5.0,N,N,N,"1, 5",Tablet,3,"6, 7",2,,NC,Nothing,"3, 4",,2
150,Dhaka,20-29,Man,Bachelors,Student,12-,Laptop,<6 mn,6,3,3.0,N,N,Y,1,"Featurephone, Desktop, Laptop",2,"3, 6","2, 3, 4","1, 5, 6, 7",NC,Nothing,"1, 3, 4, 5, 6",N,"2, 4"
151,Dhaka,20-29,Woman,Masters,Freelancing,3-4,Smartphone,<1 mn,3,1,5.0,Y,Y,Y,"1, 4","Desktop, Laptop",3,7,"3, 4, 7","2, 3, 6",NC,Nothing,"2, 3, 4",N,"1, 2, 4, 5"
152,Dhaka,20-29,Man,Bachelors,Student,6-8,Smartphone,<6 mn,"1, 3",1,2.0,Y,N,N,1,Smartphone,"1, 2","5, 6",3,"4, 5",NC,"Smartphone, Featurephone","1, 4",,"1, 2, 4"
153,Dhaka,30-39,Man,PhD,Technical Works,4-6,Smartphone,<1 yr,5,1,5.0,N,N,N,4,Smartphone,3,"5, 7","2, 3, 4","5, 6",NC,"Smartphone, Featurephone",1,,2
154,Khulna,20-29,Man,Bachelors,Student,1-2,Smartphone,<1 mn,3,"1, 3",1.0,Y,Y,N,1,Smartphone,1,2,3,2,NC,Smartphone,2,N,1
155,Khulna,20-29,Man,Bachelors,Student,1-2,Smartphone,<1 mn,3,"1, 3",1.0,Y,Y,N,1,Smartphone,1,2,3,2,NC,Smartphone,2,N,1
156,Dhaka,30-39,Man,Masters,Job,4-6,Smartphone,<6 mn,3,1,2.0,N,N,Y,1,"Smartphone, Laptop",2,5,"3, 4, 7","1, 2, 4, 6",Y,Desktop,"1, 3, 6",Y,2
157,Chittagong,20-29,Man,High School,Student,3-4,Smartphone,<6 mn,2,1,5.0,N,Y,N,5,Laptop,1,5,"2, 3, 4",,NC,Nothing,,,"2, 3"
158,Dhaka,20-29,Woman,High School,Student,4-6,Smartphone,<1 yr,1,1,1.0,N,N,N,1,"Smartphone, Laptop",2,1,2,6,NC,Nothing,2,,
159,Dhaka,30-39,Man,Bachelors,Doctor,6-8,Smartphone,<1 yr,3,1,2.0,Y,Y,Y,4,Smartphone,3,5,"3, 4, 7","3, 4, 6",Y,Nothing,"3, 4",N,"1, 2"
160,Dhaka,30-39,Man,Masters,Business,4-6,Laptop,<2 yr,3,1,5.0,Y,N,N,6,"Smartphone, Desktop",2,7,3,6,NC,Nothing,3,N,1
161,Dhaka,20-29,Man,Bachelors,Technical Works,3-4,Smartphone,<6 mn,3,3,4.0,N,N,N,1,"Desktop, Laptop",2,4,3,"5, 6",NC,Nothing,1,,1
162,Dhaka,30-39,Woman,Masters,Unemployed,3-4,Smartphone,<6 mn,3,1,1.0,Y,N,Y,1,"Smartphone, Desktop, Laptop",2,"5, 6","2, 3, 4, 6","2, 4, 6",NC,Nothing,3,N,2
163,Khulna,20-29,Woman,Bachelors,Doctor,1-2,Tablet,<6 mn,6,1,1.0,N,Y,Y,1,Smartphone,"1, 2, 3","5, 7",2,5,N,Nothing,4,N,"1, 2"
164,Sylhet,20-29,Man,Bachelors,Unemployed,4-6,Laptop,<4 yr,"1, 3",1,1.0,N,N,N,"2, 4","Smartphone, Laptop","2, 3","4, 5, 6","3, 4","4, 5, 6",NC,Nothing,,,2
165,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<2 yr,2,1,1.0,N,N,N,2,Smartphone,1,"5, 6","3, 4, 7",,NC,Nothing,,,
166,Dhaka,30-39,Man,Masters,Job,3-4,Laptop,<4 yr,3,4,5.0,N,N,N,1,"Smartphone, Laptop",2,"1, 5","3, 6","2, 6",NC,"Smartphone, Laptop","2, 4",,"2, 3"
167,Dhaka,30-39,Man,Masters,Technical Works,4-6,Smartphone,<1 yr,"5, 6",3,4.0,N,N,Y,5,"Smartphone, Desktop, Laptop",3,"1, 3",1,"4, 6",N,Nothing,"4, 5",N ,"1, 2"
168,Dhaka,20-29,Woman,Bachelors,Student,3-4,Smartphone,<1 yr,"1, 2, 5, 6",1,5.0,Y,Y,Y,1,"Smartphone, Desktop",2,"1, 3, 5, 6","2, 3, 4, 7","1, 3, 4, 5, 6",N,Featurephone,"1, 3, 4, 5, 6",N,"1, 2"
169,Khulna,20-29,Man,High School,Job,12-,Smartphone,<2 yr,"3, 5",3,2.0,Y,Y,Y,"1, 4","Smartphone, Featurephone, Desktop, Laptop",3,"1, 3","3, 4, 7","1, 2, 4, 6",NC,Nothing,"1, 2, 3, 4, 6",,"1, 2, 3, 5"
170,Rajshahi,20-29,Man,Bachelors,Student,6-8,Smartphone,<1 mn,3,4,2.0,Y,Y,Y,1,Smartphone,2,"1, 6",1,"1, 3, 4, 5, 6, 7",Y,"Smartphone, Featurephone","1, 4, 5",Y,"1, 2, 3, 4, 5"
171,Dhaka,20-29,Man,Bachelors,Unemployed,3-4,Featurephone,<4 yr,3,2,2.0,Y,N,N,2,Laptop,3,1,4,6,NC,Nothing,1,,2
172,Dhaka,20-29,Man,Bachelors,Job,6-8,Desktop,<2 yr,"1, 2, 6",3,5.0,N,Y,Y,"1, 4","Smartphone, Desktop, Laptop","2, 3","1, 4, 5","3, 4, 7",5,N,Nothing,"3, 4, 5",N,2
173,Dhaka,20-29,Woman,Bachelors,Technical Works,3-4,Laptop,<2 yr,"2, 6",3,3.0,N,Y,N,"1, 6","Smartphone, Featurephone, Laptop",1,"4, 6, 7","2, 3, 4",2,NC,Nothing,1,N,"1, 2"
174,Mymensingh,20-29,Man,Bachelors,Student,4-6,Smartphone,<1 yr,"1, 2",1,5.0,N,N,N,"1, 4","Smartphone, Desktop",3,"1, 2, 5, 6","1, 3, 6","2, 4, 5",NC,Nothing,"3, 4",N,"1, 2, 3"
